Date,Open,High,Low,Close,Adj Close,Volume
2016-09-15,3570.0,3573.0,3508.0,3522.600098,3437.649414,28398.0
2016-09-16,3556.6999509999996,3639.0,3529.9499509999996,3585.149902,3498.690918,42172.0
2016-09-19,3601.0,3617.149902,3544.0500490000004,3554.3000490000004,3468.584961,21639.0
2016-09-20,3558.0,3558.0,3460.0,3468.100098,3384.4638670000004,22028.0
2016-09-21,3497.0,3510.0,3416.899902,3460.0,3376.559082,28764.0
2016-09-22,3500.0,3577.8000490000004,3500.0,3538.600098,3453.263672,34005.0
2016-09-23,3538.600098,3553.4499509999996,3515.649902,3531.75,3446.578857,12202.0
2016-09-26,3565.0,3565.0,3450.9499509999996,3463.6999509999996,3380.169922,20116.0
2016-09-27,3486.0,3499.899902,3440.0,3450.5500490000004,3367.336914,25136.0
2016-09-28,3475.0,3490.0,3439.5,3450.4499509999996,3367.2392579999996,9021.0
2016-09-29,3485.0,3495.9499509999996,3409.9499509999996,3428.5,3345.818848,23116.0
2016-09-30,3462.0,3462.0,3392.0,3414.350098,3332.01001,30064.0
2016-10-03,3469.0,3542.850098,3448.0,3523.0,3438.039795,27021.0
2016-10-04,3581.0,3600.0,3516.3000490000004,3531.5500490000004,3446.383545,37865.0
2016-10-05,3583.0,3583.0,3485.0,3490.399902,3406.22583,46327.0
2016-10-06,3525.3000490000004,3525.3000490000004,3462.399902,3473.600098,3389.8312990000004,29617.0
2016-10-07,3495.0,3495.0,3450.0,3471.6999509999996,3387.977051,24530.0
2016-10-10,3499.0,3512.899902,3479.100098,3489.6999509999996,3405.5429689999996,57951.0
2016-10-13,3489.6999509999996,3519.0,3468.5500490000004,3493.5,3409.251221,37207.0
2016-10-14,3515.0,3518.850098,3466.9499509999996,3482.1999509999996,3398.2236329999996,18211.0
2016-10-17,3510.0,3510.0,3393.0,3404.149902,3322.055664,27398.0
2016-10-18,3404.149902,3435.649902,3383.25,3410.5,3328.252686,38264.0
2016-10-19,3420.0,3420.0,3360.0,3367.0,3285.8017579999996,21364.0
2016-10-20,3376.3000490000004,3404.4499509999996,3355.5,3362.75,3281.654297,20442.0
2016-10-21,3371.100098,3375.5,3344.550049,3360.5500490000004,3279.507568,17257.0
2016-10-24,3360.0,3371.5,3330.0,3334.300049,3253.8903809999997,20174.0
2016-10-25,3335.0,3372.6999509999996,3331.050049,3357.25,3276.287109,16410.0
2016-10-26,3410.0,3454.8000490000004,3375.0,3421.5500490000004,3339.036377,52997.0
2016-10-27,3470.0,3470.0,3300.149902,3314.75,3234.811768,147088.0
2016-10-28,3345.0,3420.0,3324.899902,3348.649902,3267.894043,27973.0
2016-11-01,3348.649902,3388.100098,3348.649902,3370.8000490000004,3289.51001,14418.0
2016-11-02,3360.0,3360.0,3316.25,3324.25,3244.0830079999996,13110.0
2016-11-03,3330.0,3400.0,3317.0,3379.5,3298.0004879999997,25377.0
2016-11-04,3390.0,3390.0,3250.0,3282.949951,3203.778809,25472.0
2016-11-07,3300.0,3379.0,3264.649902,3350.149902,3269.358154,21026.0
2016-11-08,3378.0,3381.0,3327.0,3369.600098,3288.339111,13179.0
2016-11-09,3262.0,3262.0,3097.949951,3235.699951,3157.668213,60177.0
2016-11-10,3290.0,3312.449951,3135.0,3144.550049,3068.716553,43561.0
2016-11-11,3144.550049,3144.550049,2970.0,2981.75,2909.842529,46674.0
2016-11-15,2981.75,2981.75,2869.0,2900.699951,2830.74707,41726.0
2016-11-16,2926.0,3018.0,2894.350098,2914.5,2844.214355,32577.0
2016-11-17,2949.0,2949.0,2844.399902,2878.149902,2808.740723,36841.0
2016-11-18,2900.0,2942.0,2876.0,2934.75,2863.97583,98899.0
2016-11-21,2945.0,2953.449951,2897.0,2928.100098,2857.486328,50614.0
2016-11-22,2941.0,3015.0,2933.25,2997.0,2924.724854,25999.0
2016-11-23,3030.0,3030.0,2996.350098,3012.850098,2940.192627,14436.0
2016-11-24,2999.0,3069.0,2978.550049,3049.600098,2976.056396,11790.0
2016-11-25,3050.0,3092.5,3029.399902,3039.100098,2965.809326,16839.0
2016-11-28,3050.0,3117.0,3050.0,3101.5,3026.70459,19785.0
2016-11-29,3117.899902,3180.0,3074.399902,3160.050049,3083.842773,25695.0
2016-11-30,3160.0,3176.0,3135.0,3169.0,3092.57666,13433.0
2016-12-01,3159.5,3215.0,3148.699951,3178.350098,3101.701416,18222.0
2016-12-02,3160.0,3213.0,3150.5,3183.699951,3106.9221190000003,20562.0
2016-12-05,3183.649902,3258.0,3170.600098,3224.399902,3146.640625,22175.0
2016-12-06,3228.699951,3241.199951,3186.199951,3198.0,3120.877441,9036.0
2016-12-07,3250.0,3250.0,3200.0,3227.199951,3149.373047,19702.0
2016-12-08,3260.0,3331.5,3248.100098,3308.949951,3229.151855,33094.0
2016-12-09,3344.0,3344.0,3271.050049,3281.149902,3202.022217,15235.0
2016-12-12,3272.0,3272.0,3199.550049,3216.550049,3138.97998,13281.0
2016-12-13,3210.0,3239.449951,3195.449951,3201.949951,3124.732178,28525.0
2016-12-14,3206.899902,3221.050049,3142.0,3163.199951,3086.916748,14102.0
2016-12-15,3149.600098,3200.149902,3120.050049,3168.100098,3091.698486,18202.0
2016-12-16,3168.100098,3183.399902,3119.5,3128.0,3052.565674,8615.0
2016-12-19,3151.649902,3151.649902,3087.699951,3105.699951,3030.803467,14776.0
2016-12-20,3135.0,3135.0,3040.199951,3057.149902,2983.424072,39921.0
2016-12-21,3068.0,3101.0,3021.050049,3026.649902,2953.659668,17115.0
2016-12-22,3022.0,3040.0,2983.800049,3000.5,2928.1403809999997,14235.0
2016-12-23,3008.0,3050.0,2992.149902,3036.0,2962.78418,8556.0
2016-12-26,3040.100098,3045.850098,2976.5,3004.399902,2931.946045,9499.0
2016-12-27,2981.0,3046.350098,2957.0,3034.0,2960.832275,13470.0
2016-12-28,3035.0,3050.0,3000.0,3004.800049,2932.33667,10288.0
2016-12-29,3032.949951,3050.0,2975.0,3032.300049,2959.17334,18905.0
2016-12-30,3045.0,3061.5,3028.0,3044.75,2971.3232420000004,17910.0
2017-01-02,3045.0,3068.100098,2991.5,3028.699951,2955.660156,19692.0
2017-01-03,2972.699951,3018.449951,2966.0,2987.350098,2915.3076170000004,19758.0
2017-01-04,3012.0,3025.949951,2976.050049,3014.25,2941.558594,28777.0
2017-01-05,3020.0,3081.5,3015.25,3072.300049,2998.20874,39906.0
2017-01-06,3085.0,3118.25,3055.949951,3068.600098,2994.598145,19921.0
2017-01-09,3100.0,3108.0,3029.300049,3035.899902,2962.686279,13773.0
2017-01-10,3040.100098,3073.449951,3020.100098,3062.949951,2989.084229,11475.0
2017-01-11,3070.0,3092.050049,3040.0,3087.0,3012.5541989999997,15766.0
2017-01-12,3114.699951,3114.699951,3065.0,3079.649902,3005.381348,30618.0
2017-01-13,3084.899902,3092.699951,3021.949951,3044.649902,2971.225586,14369.0
2017-01-16,3051.0,3100.0,3029.0,3091.399902,3016.8479,9195.0
2017-01-17,3110.0,3155.0,3074.399902,3131.649902,3056.127441,19725.0
2017-01-18,3141.0,3159.0,3077.0,3088.850098,3014.3596190000003,40555.0
2017-01-19,3104.0,3117.699951,3068.0,3107.899902,3032.950195,15233.0
2017-01-20,3105.050049,3120.0,3050.550049,3056.600098,2982.887695,18089.0
2017-01-23,3058.0,3108.899902,3044.699951,3099.550049,3024.801514,117313.0
2017-01-24,3112.0,3141.449951,3087.050049,3133.25,3057.688965,18307.0
2017-01-25,3140.0,3265.0,3124.850098,3240.350098,3162.206299,48979.0
2017-01-27,3240.350098,3263.0,3201.050049,3216.300049,3138.736084,121590.0
2017-01-30,3216.300049,3216.300049,3160.149902,3196.850098,3119.755371,19774.0
2017-01-31,3210.0,3220.0,3153.75,3179.25,3102.57959,12653.0
2017-02-01,3194.0,3300.0,3170.050049,3284.100098,3204.901123,48071.0
2017-02-02,3269.800049,3291.550049,3217.5,3226.0,3148.202148,39597.0
2017-02-03,3227.0,3229.0,3202.0,3215.699951,3138.150635,27317.0
